#Classes
#Removing stat gains from promotion which used to be ~10 levels worth
basehp,basestr,basemag,baseskl,basespd,baselck,basedef,baseres
JID_HERO:18,3,1,3,4,0,5,0
JID_TIAMAT/F:20,5,0,2,6,0,5,1
JID_PALADIN_S:20,5,0,2,5,0,6,0
JID_PALADIN_L:20,5,0,2,5,0,6,0
JID_PALADIN_A:20,5,0,2,5,0,6,0
JID_PALADIN_B:20,5,0,2,5,0,6,0
JID_PALADIN_S/F:20,5,0,2,6,0,5,1
JID_PALADIN_L/F:20,5,0,2,6,0,5,1
JID_PALADIN_A/F:20,5,0,2,6,0,5,1
JID_PALADIN_B/F:20,5,0,2,6,0,5,1
JID_FALCONKNIGHT/F:14,4,0,4,0,8,3,2
JID_DRAGONMASTER:20,6,0,4,3,0,8,0
JID_DRAGONMASTER/F:19,6,0,4,3,0,7,1
JID_SWORDMASTER:17,4,0,5,5,0,3,0
JID_SWORDMASTER/F:15,3,0,5,6,0,3,1,0
JID_HALBERDIER:20,4,0,4,4,0,4,0
JID_HALBERDIER/F:18,2,0,4,5,0,3,1
JID_WARRIOR:24,5,0,3,3,0,3,0
JID_SNIPER:18,3,0,6,3,0,4,0
JID_GENERAL:20,5,0,2,0,0,9,0
JID_SAGE:16,0,3,2,4,0,2,4
JID_SAGE_S:16,0,3,2,4,0,2,4
JID_SAGE/F:16,0,3,1,5,0,1,5
JID_SAGE_S/F:16,0,3,1,5,0,1,5
JID_BISHOP:18,0,3,3,3,0,1,8
JID_VALKYRIE/F:16,2,1,2,2,0,0,6
JID_ASSASSIN:16,3,0,2,9,0,2,0
JID_BERSERKER:25,5,0,2,4,0,2,0
